 處理範圍: 1000 ~ 1500 (共 500 users)
081244ks -> 79 outfits | ⏱ 141.90s | avg 175.77s                                            
maay21 -> 605 outfits | ⏱ 452.48s | avg 176.71s                                             
minamilabon -> 69 outfits | ⏱ 141.84s | avg 176.60s                                         
rinko113 -> 339 outfits | ⏱ 288.20s | avg 176.97s                                           
lisa25691212 -> 82 outfits | ⏱ 146.41s | avg 176.87s                                        
kazuki007132000 -> 74 outfits | ⏱ 45.94s | avg 176.43s                                      
chiii315 -> 1 outfits | ⏱ 2.42s | avg 175.85s                                               
hinano9831 -> 120 outfits | ⏱ 165.40s | avg 175.81s                                         
lipipi03 -> 172 outfits | ⏱ 201.38s | avg 175.90s                                           
24sachi -> 71 outfits | ⏱ 139.98s | avg 175.78s                                             
cer1sier -> 564 outfits | ⏱ 423.81s | avg 176.60s                                           
gretsch6119 -> 62 outfits | ⏱ 37.88s | avg 176.14s                                          
892ki -> 228 outfits | ⏱ 136.35s | avg 176.01s                                              
ms10669 -> 89 outfits | ⏱ 147.98s | avg 175.92s                                             
skuuu333 -> 68 outfits | ⏱ 139.29s | avg 175.80s                                            
himisb002press02 -> 58 outfits | ⏱ 132.01s | avg 175.66s                                    
yutaism555 -> 13 outfits | ⏱ 11.30s | avg 175.13s                                           
2569channel -> 437 outfits | ⏱ 255.36s | avg 175.39s                                        
ms10887 -> 71 outfits | ⏱ 141.27s | avg 175.28s                                             
amiko98 -> 306 outfits | ⏱ 191.20s | avg 175.33s                                            
tomoyo0828 -> 332 outfits | ⏱ 298.82s | avg 175.72s                                         
juriagyda -> 428 outfits | ⏱ 258.71s | avg 175.99s                                          
ms10263 -> 148 outfits | ⏱ 186.12s | avg 176.02s                                            
pukunana07 -> 646 outfits | ⏱ 398.15s | avg 176.72s                                         
natsuki0115 -> 291 outfits | ⏱ 261.21s | avg 176.99s                                        
ikekoike800 -> 109 outfits | ⏱ 165.03s | avg 176.95s                                        
ms10175 -> 197 outfits | ⏱ 120.66s | avg 176.77s                                            
ms10245 -> 381 outfits | ⏱ 326.62s | avg 177.24s                                            
ms10657 -> 320 outfits | ⏱ 286.48s | avg 177.58s                                            
151719 -> 775 outfits | ⏱ 580.96s | avg 178.83s                                             
myaaabi -> 3 outfits | ⏱ 3.51s | avg 178.29s                                                
yunaooshima -> 298 outfits | ⏱ 184.05s | avg 178.31s                                        
rimarkofficial -> 840 outfits | ⏱ 585.92s | avg 179.56s                                     
mrm1023a -> 0 outfits | ⏱ 1.97s | avg 179.02s                                               
nemumiline -> 2 outfits | ⏱ 3.13s | avg 178.48s                                             
hrd__3 -> 261 outfits | ⏱ 260.27s | avg 178.73s                                             
moookkk -> 241 outfits | ⏱ 238.54s | avg 178.91s                                            
adiotasei -> 320 outfits | ⏱ 284.62s | avg 179.23s                                          
kdai0220 -> 179 outfits | ⏱ 112.75s | avg 179.03s                                           
mirok -> 99 outfits | ⏱ 60.65s | avg 178.68s                                                
uru0120mu -> 48 outfits | ⏱ 125.69s | avg 178.52s                                           
chamble -> 131 outfits | ⏱ 178.59s | avg 178.52s                                            
chunatsuki -> 252 outfits | ⏱ 160.89s | avg 178.46s                                         
nanaminako -> 296 outfits | ⏱ 189.84s | avg 178.50s                                         
kamepiiiii -> 484 outfits | ⏱ 373.39s | avg 179.08s                                         
kazu414 -> 220 outfits | ⏱ 222.60s | avg 179.20s                                            
ryomatsu0310 -> 341 outfits | ⏱ 212.55s | avg 179.30s                                       
yusukeapparel -> 294 outfits | ⏱ 268.16s | avg 179.56s                                      
wyftk1204 -> 317 outfits | ⏱ 202.07s | avg 179.63s                                          
ruuuchan05 -> 145 outfits | ⏱ 184.99s | avg 179.65s                                         
mk__1117 -> 545 outfits | ⏱ 340.47s | avg 180.12s                                           
Users:  69%|██████████████████████████▊         ❌ download fail: https://images.wear2.jp/coordinate/DZiMpJW6/VO0sylCU/1738166187_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
kbfngs0616 -> 964 outfits | ⏱ 666.75s | avg 181.53s                                         
gwumie2 -> 655 outfits | ⏱ 383.38s | avg 182.11s                                            
hyryum -> 283 outfits | ⏱ 169.40s | avg 182.08s                                             
mamechi0512 -> 306 outfits | ⏱ 278.15s | avg 182.35s                                        
yuyudayoooo -> 586 outfits | ⏱ 429.22s | avg 183.06s                                        
